x1, y1, f1, x2, y2, f2, x3, y3, f3
-3.00, -5.00, 274.00, -2.40, -5.00, 348.22, -3.00, -4.40, 128.57
-3.00, -5.00, 274.00, -4.20, -4.10, 348.22, -3.00, -4.40, 128.57
-4.20, -3.50, 274.00, -4.20, -4.10, 37.92, -3.00, -4.40, 128.57
-4.20, -3.50, 10.96, -4.20, -4.10, 37.92, -4.80, -3.50, 128.57
-4.20, -3.50, 10.96, -4.20, -4.10, 37.92, -3.60, -4.10, 73.13
-4.20, -3.50, 10.96, -4.20, -4.10, 37.92, -4.50, -3.65, 43.14
-4.20, -3.50, 10.96, -4.43, -3.31, 37.92, -4.50, -3.65, 34.68
-4.20, -3.50, 10.96, -4.43, -3.31, 27.96, -3.94, -2.92, 34.68
-4.20, -3.50, 10.96, -3.71, -3.11, 27.96, -3.94, -2.92, 8.36
-3.64, -2.77, 10.96, -3.71, -3.11, 1.24, -3.94, -2.92, 8.36
-4.01, -3.26, 9.12, -3.71, -3.11, 1.24, -3.94, -2.92, 8.36
-4.01, -3.26, 3.57, -3.71, -3.11, 1.24, -3.79, -3.44, 8.36
-3.62, -3.28, 3.57, -3.71, -3.11, 1.24, -3.79, -3.44, 1.16
-3.88, -3.27, 1.44, -3.71, -3.11, 1.24, -3.79, -3.44, 1.16
-3.88, -3.27, 0.68, -3.80, -3.19, 1.24, -3.83, -3.35, 1.16
-3.75, -3.27, 0.68, -3.80, -3.19, 0.47, -3.83, -3.35, 0.30
-3.75, -3.27, 0.05, -3.79, -3.38, 0.47, -3.83, -3.35, 0.30
-3.75, -3.27, 0.05, -3.79, -3.25, 0.40, -3.83, -3.35, 0.30
-3.75, -3.27, 0.05, -3.79, -3.25, 0.07, -3.74, -3.22, 0.30
-3.75, -3.27, 0.05, -3.79, -3.25, 0.07, -3.80, -3.31, 0.20
-3.75, -3.27, 0.05, -3.77, -3.31, 0.07, -3.80, -3.31, 0.05
-3.75, -3.27, 0.05, -3.79, -3.27, 0.06, -3.80, -3.31, 0.05
